time,imbalance gamma=0J,imbalance gamma=0.1J,imbalance gamma=0.5J,imbalance gamma=1J,imbalance gamma=2J,imbalance gamma=5J
0.17,0.48565406661074784,0.48581481625939027,0.48643138488947396,0.48714647517289533,0.48841307500011927,0.4912236163410788
0.18,0.4839307485632789,0.484121238599922,0.484850103937689,0.4856918076682386,0.4871726203054825,0.49040801019480534
0.19,0.4821122493070483,0.4823358826442439,0.4831894880941623,0.4841710260585519,0.4858862818142787,0.4895771900228811
0.2,0.48019911332970155,0.4804594625047147,0.4814508066308745,0.4825858640980899,0.4845561951630945,0.48873278857377606
0.21,0.47819191333124356,0.47849271763039625,0.4796353378216074,0.48093803770447363,0.4831844216425946,0.4878762844567532
0.22,0.47609125003334996,0.4764364125000167,0.4777443683969404,0.4792292447197185,0.48177295047356544,0.48700901652317463
0.23,0.473897751979369,0.474291336307467,0.47577919300372185,0.4774611646862278,0.4803237010242909,0.48613219691912635
0.24,0.47161207532508576,0.4720583026399756,0.47374111366914246,0.47563545863731793,0.47883852496960855,0.48524692293101285
0.25,0.4692349036203233,0.4697381491490793,0.47163143926955337,0.47375376890210047,0.4773192083934567,0.4843541877341938
0.26,0.4667669475814522,0.46733173721453936,0.46945148500414,0.47181771892433244,0.4757674738361787,0.4834548901456941
0.27,0.46420894485489816,0.46483995160132374,0.4672025718735946,0.46982891309486896,0.4741849822863342,0.48254984347221486
0.28,0.4615616597717172,0.46226370010980916,0.4648860261638861,0.46778893659744486,0.4725733351194533,0.48163978353608394
0.29,0.4588258830933306,0.4596039132193271,0.4625031789352676,0.4656993552674039,0.47093407598450954,0.48072537595559484
0.3,0.4560024317485201,0.45686154372520804,0.4600553655166098,0.46356171546311603,0.4692686926378902,0.47980722274745297
0.31,0.4530921485617463,0.4540375663694638,0.45754392500518404,0.4613775439497723,0.4675786187282627,0.4788858683143398
0.32,0.450095901972915,0.4511329774652533,0.45497019977199643,0.45914834779522473,0.4658652355308691,0.47796180487433326
0.33,0.44701458574867714,0.4481487945152761,0.4523355349727711,0.456875614277568,0.4641298736341553,0.4770354773832649
0.34,0.4438491186853554,0.4450860558242501,0.44964127806468784,0.4545608108041608,0.4623738145790296,0.47610728799729113
0.35000000000000003,0.4406004443036155,0.4419458201056184,0.4468887783289587,0.4522053848417906,0.4605982924512838,0.47517760011816945
