time,imbalance Delta=5J,imbalance Delta=10J,imbalance Delta=15J,imbalance Delta=20J,imbalance Delta=30J,imbalance Delta=50J
0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.02002002002002002,0.4928700866950852,0.497701593277979,0.4988813703318781,0.4993225322320812,0.49964734872137917,0.4998169014894092
0.04004004004004004,0.4856257430645937,0.4952249521226965,0.4975884614120541,0.49847424004529617,0.49912710482323086,0.4994681292664811
0.06006006006006006,0.47828617266119333,0.49258494853988644,0.49613491975007945,0.49746833596423495,0.49845217410628206,0.49896643404750773
0.08008008008008008,0.4708690484520896,0.48979535547826747,0.4945333673883538,0.496317032795336,0.49763447988648063,0.4983235927491984
0.10010010010010009,0.46339062888537735,0.4868689329751709,0.49279548292545555,0.49503162284651026,0.4966850409148814,0.4975504857381663
0.12012012012012012,0.4558658646279686,0.4838175072062163,0.49093207590578736,0.4936225506838138,0.49561404295978445,0.496657167807826
0.14014014014014015,0.4483084967784808,0.48065204303995573,0.4889531551285662,0.4920994799605033,0.49443090457349104,0.49565293339837213
0.16016016016016016,0.44073114728563295,0.4773827106469045,0.48686799138270154,0.49047135480904347,0.4931443375225719,0.49454637653264844
0.18018018018018017,0.4331454022366852,0.47401894666516725,0.4846851750715802,0.48874645624587554,0.4917624023210026,0.49334544590185786
0.20020020020020018,0.42556188862059585,0.47056951038185124,0.48241266915269765,0.48693245400110663,0.4902925592689641,0.49205749549898936
0.22022022022022023,0.41799034511628474,0.4670425353500952,0.4800578577814545,0.4850364541510284,0.48874171536679606,0.49068933116509134
0.24024024024024024,0.410439687407157,0.46344557682558374,0.4776275910156951,0.48306504289980534,0.487116267442949,0.48924725338331876
0.2602602602602603,0.40291806847839007,0.4597856553735435,0.47512822590768333,0.48102432682790547,0.485422141806753,0.4877370966280472
0.2802802802802803,0.39543293431295323,0.45606929696720994,0.4725656642827095,0.4789199698983361,0.48366483071105837,0.48616426555094183
0.3003003003003003,0.38799107536555066,0.4523025698713219,0.46994538747850356,0.4767572274874925,0.48184942588616353,0.4845337682626441
0.3203203203203203,0.3805986741603056,0.44849111857910473,0.46727248829664625,0.4745409776853274,0.4799806493849205,0.482850246947385
0.34034034034034033,0.37326134932767285,0.4446401950483212,0.4645517003960663,0.4722757500891295,0.4780628819590053,0.481118006028288
0.36036036036036034,0.3659841963685554,0.44075468746101965,0.46178742533949085,0.4699657522965567,0.4761001891681539,0.4793410380831381
0.38038038038038036,0.3587718254085696,0.4368391467124825,0.4589837574860514,0.4676148942864897,0.47409634540749984,0.4775230476939707
0.40040040040040037,0.3516283961826935,0.43289781081739814,0.45614450690709357,0.46522681086062717,0.4720548560228653,0.4756674733987133
0.42042042042042044,0.34455765046985665,0.4289346274052963,0.4532732204874428,0.4628048823043728,0.46997897766982694,0.47377750789927475
0.44044044044044045,0.33756294217825605,0.4249532744626923,0.4503732013608204,0.46035225341242825,0.4678717370595264,0.47185611666776667
0.46046046046046046,0.3306472652650846,0.42095717946603495,0.4474475268157079,0.4578718510124378,0.4657359482224013,0.46990605508090083
0.4804804804804805,0.3238132796588192,0.41694953703735654,0.4444990647965754,0.45536640010899876,0.46357422841020773,0.4679298842019064
0.5005005005005005,0.31706333533805664,0.41293332524337684,0.44153048911500165,0.45283843876021623,0.46138901274678135,0.46592998531951757
0.5205205205205206,0.31039949470800043,0.40891132064861724,0.43854429347566565,0.45029033178970745,0.459182567728904,0.46390857334458213
0.5405405405405406,0.3038235534039694,0.4048861122237652,0.43554280441347054,0.4477242834284533,0.4569570036702982,0.4618677091565921
0.5605605605605606,0.2973370596405874,0.4008601142020168,0.43252819323005387,0.4451423489730944,0.45471428617412174,0.4598093109848772
0.5805805805805806,0.2909413322155827,0.3968355779683278,0.4295024870106257,0.44254644554013817,0.4524562467123334,0.457735164902247
0.6006006006006006,0.2846374772682127,0.392814603059394,0.4264675787953554,0.4399383619889682,0.4501845923838562,0.45564693450250493
0.6206206206206206,0.2784264038842265,0.38879914734566146,0.4234252369733949,0.4373197680805721,0.44790091491756967,0.4535461698274149
0.6406406406406406,0.27230883863186905,0.3847910364607166,0.42037711396198163,0.43469222293336957,0.4456066989807578,0.4514343156033344
0.6606606606606606,0.26628533910666236,0.38079197253795877,0.41732475422791987,0.4320571828325023,0.4433033298486661,0.4493127188428094
0.6806806806806807,0.26035630655652453,0.37680354230948077,0.41426960170400734,0.42941600844429834,0.44099210048627246,0.4471826358619193
0.7007007007007007,0.2545219976531339,0.3728272246175149,0.41121300664864247,0.42676997148339973,0.43867421808920426,0.44504523876000895
0.7207207207207207,0.24878253547027968,0.3688643973846426,0.40815623199288503,0.4241202608761401,0.43635081012689547,0.44290162140464967
0.7407407407407407,0.24313791972521795,0.36491634408515267,0.4051004592156057,0.4214679884601972,0.43402292992756697,0.4407528049611839
0.7607607607607607,0.23758803633471598,0.3609842597564262,0.402046793784024,0.4188141942572764,0.43169156184138985,0.43859974300300353
0.7807807807807807,0.23213266633350765,0.35706925658605343,0.39899627019389167,0.4161598513525774,0.42935762601523,0.43644332623578275
0.8008008008008007,0.22677149419925563,0.35317236910744376,0.3959498566407624,0.4135058704120517,0.42702198280965464,0.43428438686617654
0.8208208208208209,0.2215041156247723,0.3492945590340257,0.39290845935124513,0.410853103865928,0.42468543688640187,0.4321237026430425
0.8408408408408409,0.21633004477520726,0.34543671975967294,0.3898729266007647,0.4082023497846767,0.4223487409922134,0.429962000596949
0.8608608608608609,0.21124872106509698,0.34159968055075784,0.386844052442214,0.40555435547145563,0.4200125994628465,0.42779996050166924
