time psi_dw1,imbalance psi_dw1,time psi_dw2,imbalance psi_dw2
25.4,-0.083462,25.4,-0.0059627875
25.6,-0.083239875,25.6,-0.0059534875
25.8,-0.083018375,25.8,-0.0059440875
26.0,-0.0827975,26.0,-0.0059345875
26.2,-0.082577375,26.2,-0.005925
26.4,-0.082357875,26.4,-0.005915325
26.6,-0.082139,26.6,-0.0059055625
26.8,-0.08192075,26.8,-0.005895725
27.0,-0.081703375,27.0,-0.0058858125
27.2,-0.0814865,27.2,-0.0058758375
27.4,-0.081270375,27.4,-0.0058658125
27.6,-0.081055,27.6,-0.0058557125
27.8,-0.08084025,27.8,-0.0058455625
28.0,-0.08062625,28.0,-0.0058353625
28.2,-0.080413,28.2,-0.0058251125
28.4,-0.080200375,28.4,-0.005814825
28.6,-0.0799885,28.6,-0.0058045
28.8,-0.079777375,28.8,-0.005794125
29.0,-0.079566875,29.0,-0.005783725
29.2,-0.07935725,29.2,-0.0057732875
29.4,-0.079148125,29.4,-0.005762825
29.6,-0.078939875,29.6,-0.005752325
29.8,-0.07873225,29.8,-0.0057418
30.0,-0.078525375,30.0,-0.0057312625
30.2,-0.078319125,30.2,-0.0057206875
30.4,-0.07811375,30.4,-0.0057101125
30.6,-0.077908875,30.6,-0.0056995
30.8,-0.077704875,30.8,-0.0056888875
31.0,-0.0775015,31.0,-0.00567825
31.2,-0.077298875,31.2,-0.0056676125
31.4,-0.077096875,31.4,-0.00565695
31.6,-0.076895625,31.6,-0.005646275
31.8,-0.076695125,31.8,-0.0056356
32.0,-0.07649525,32.0,-0.005624925
32.2,-0.076296125,32.2,-0.005614225
32.4,-0.076097625,32.4,-0.0056035375
32.6,-0.07589975,32.6,-0.0055928375
32.8,-0.07570275,32.8,-0.005582125
33.0,-0.07550625,33.0,-0.005571425
33.2,-0.0753105,33.2,-0.0055607125
33.4,-0.0751155,33.4,-0.0055500125
33.6,-0.074921125,33.6,-0.0055393
33.8,-0.074727375,33.8,-0.0055286
34.0,-0.074534375,34.0,-0.0055178875
34.2,-0.074342,34.2,-0.0055071875
34.4,-0.07415025,34.4,-0.0054964875
34.6,-0.07395925,34.6,-0.0054858
34.8,-0.073768875,34.8,-0.0054751
35.0,-0.073579125,35.0,-0.005464425
35.2,-0.073390125,35.2,-0.0054537375
35.4,-0.073201625,35.4,-0.0054430625
35.6,-0.073013875,35.6,-0.0054324
35.8,-0.07282675,35.8,-0.0054217375
36.0,-0.07264025,36.0,-0.0054110875
36.2,-0.072454375,36.2,-0.0054004375
36.4,-0.07226925,36.4,-0.0053898125
36.6,-0.072084625,36.6,-0.0053791875
36.8,-0.07190075,36.8,-0.0053685625
37.0,-0.071717375,37.0,-0.0053579625
37.2,-0.07153475,37.2,-0.0053473625
37.4,-0.071352625,37.4,-0.005336775
37.6,-0.071171125,37.6,-0.0053262
37.8,-0.070990375,37.8,-0.005315625
38.0,-0.070810125,38.0,-0.005305075
38.2,-0.0706305,38.2,-0.005294525
38.4,-0.0704515,38.4,-0.005284
38.6,-0.070273125,38.6,-0.005273475
38.8,-0.070095375,38.8,-0.005262975
39.0,-0.069918125,39.0,-0.005252475
39.2,-0.069741625,39.2,-0.0052419875
39.4,-0.069565625,39.4,-0.005231525
39.6,-0.069390125,39.6,-0.0052210625
39.8,-0.069215375,39.8,-0.005210625
40.0,-0.069041125,40.0,-0.0052002
40.2,-0.0688675,40.2,-0.005189775
40.4,-0.068694375,40.4,-0.005179375
40.6,-0.068521875,40.6,-0.0051689875
40.8,-0.06835,40.8,-0.0051586125
41.0,-0.068178625,41.0,-0.00514825
41.2,-0.068007875,41.2,-0.0051379125
41.4,-0.067837625,41.4,-0.005127575
41.6,-0.067668,41.6,-0.0051172625
41.8,-0.067498875,41.8,-0.0051069625
42.0,-0.067330375,42.0,-0.005096675
42.2,-0.067162375,42.2,-0.0050864
42.4,-0.066995,42.4,-0.00507615
42.6,-0.066828125,42.6,-0.0050659
42.8,-0.06666175,42.8,-0.005055675
43.0,-0.066496,43.0,-0.0050454625
43.2,-0.06633075,43.2,-0.005035275
43.4,-0.066166125,43.4,-0.0050251
43.6,-0.066001875,43.6,-0.005014925
43.8,-0.06583825,43.8,-0.0050047875
44.0,-0.06567525,44.0,-0.00499465
44.2,-0.065512625,44.2,-0.0049845375
44.4,-0.065350625,44.4,-0.0049744375
44.6,-0.065189125,44.6,-0.00496435
44.8,-0.065028125,44.8,-0.0049542875
45.0,-0.064867625,45.0,-0.0049442375
45.2,-0.06470775,45.2,-0.0049342
45.4,-0.064548375,45.4,-0.0049241875
45.6,-0.064389375,45.6,-0.0049141875
45.8,-0.064231,45.8,-0.0049042
46.0,-0.064073125,46.0,-0.004894225
46.2,-0.06391575,46.2,-0.004884275
46.4,-0.063758875,46.4,-0.0048743375
46.6,-0.0636025,46.6,-0.004864425
46.8,-0.063446625,46.8,-0.004854525
47.0,-0.06329125,47.0,-0.0048446375
47.2,-0.06313625,47.2,-0.004834775
47.4,-0.062981875,47.4,-0.0048249125
47.6,-0.062828,47.6,-0.0048150875
47.8,-0.062674625,47.8,-0.0048052625
48.0,-0.062521625,48.0,-0.0047954625
48.2,-0.062369125,48.2,-0.0047856875
48.4,-0.06221725,48.4,-0.0047759125
48.6,-0.06206575,48.6,-0.0047661625
48.8,-0.06191475,48.8,-0.0047564375
49.0,-0.061764125,49.0,-0.004746725
49.2,-0.061614125,49.2,-0.004737025
49.4,-0.0614645,49.4,-0.00472735
49.6,-0.061315375,49.6,-0.004717675
