time,imbalance Delta=0.1J,imbalance Delta=0.3J,imbalance Delta=0.5J,imbalance Delta=3J,imbalance Delta=5J,imbalance Delta=10J
0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.05,0.4987513466179104,0.4987513602817986,0.49875138760923404,0.4987528813839304,0.4987556093323323,0.49876831203429595
0.1,0.4950149196131218,0.49501516140484075,0.4950156449552007,0.4950419951345054,0.49508985215307794,0.4953077059983173
0.15000000000000002,0.48881854021100557,0.48881978114116054,0.4888222625853873,0.4889564839040691,0.48919767837187744,0.4902595992711647
0.2,0.4802091137759668,0.4802130318758159,0.48022086526041596,0.48064191242462556,0.48138941937492463,0.4845088525665138
0.25,0.46925006866733443,0.4692595646083306,0.46927855509562666,0.4702942603283362,0.4720645448666728,0.4789546254144796
0.30000000000000004,0.4560237192081865,0.4560431731391277,0.4560820403827461,0.4581537523779624,0.46168337282976807,0.47428345498063607
0.35000000000000003,0.4406280975931222,0.4406634107714001,0.4407339783356879,0.444495564800849,0.45073151702443554,0.47080002920443426
0.4,0.4231771275586765,0.4232361464856248,0.4233542322639984,0.4296206653532956,0.4396851650887046,0.4683595046197038
0.45,0.40379980872920324,0.403891935169974,0.404077937155373,0.4138461159235405,0.42897556094085304,0.46642068722761404
0.5,0.38263902461440236,0.38277664973479003,0.38305513355383325,0.3974927597305984,0.4189599635574379,0.4641984224959139
0.55,0.3598503923636855,0.36004802727892976,0.36044844999714015,0.38087667094616545,0.4098996689050477,0.4608738983304689
0.6000000000000001,0.33560114946118613,0.33587589025366604,0.33643133616952975,0.36429842253686445,0.40194413918917576,0.45580852752100115
0.65,0.31006838771249917,0.310439822686788,0.31118707732887696,0.34803303548908665,0.3951254539611039,0.4487042998069625
0.7000000000000001,0.28343856677108514,0.2839275717339709,0.2849075627500107,0.3323229410728539,0.3893622057179032,0.43966943884668674
0.75,0.25590446229629343,0.2565335413869639,0.2577907438382698,0.31737135940838734,0.3844735608456906,0.42917783589028735
0.8,0.2276639284182487,0.22845762323024724,0.23003967987491156,0.30333694261998934,0.380198298309252,0.417935967625107
0.8500000000000001,0.19891980736374001,0.19990365547664277,0.20185970643492052,0.2903325107833251,0.37622019534753065,0.4066984213576756
0.9,0.169876685804243,0.17107673621242805,0.1734567490878053,0.2784233013061475,0.3721963221202824,0.39608123241884563
0.9500000000000001,0.14073937865749786,0.14218210232640457,0.14503615281111826,0.2676283613018731,0.36778701046444484,0.3864225153761843
1.0,0.11171181013550932,0.11342377930855921,0.11680096918337224,0.2579230307480141,0.3626828847466957,0.3777225449277649
1.05,0.08299621614333451,0.08500279896626095,0.08895036254595713,0.2492434630401258,0.3566275363236637,0.36967471682795694
1.1,0.054790239751411535,0.05711560922486971,0.06167823050930683,0.24149147729023301,0.34943573973332004,0.36177323416720997
1.1500000000000001,0.027286020551259997,0.02995218218553692,0.03517014945036484,0.2345409397091649,0.3410040356569409,0.3534613695134263
1.2000000000000002,0.0006679515701282031,0.003694174568883998,0.00960271615087203,0.2282451033173747,0.331314352331575,0.34428214429472237
1.25,-0.02488805758449439,-0.021485613736369633,-0.014857722501257985,0.22244470023224733,0.32042996196007334,0.3339904615848673
1.3,-0.04921626975122349,-0.045425303068739493,-0.03805684687125413,0.21697443172242184,0.3084858722419773,0.32260072882994545
1.35,-0.07216271867703282,-0.06797501279382116,-0.059853339183382044,0.2116706229257264,0.2956744989395015,0.31036334404994076
1.4000000000000001,-0.0935859731673422,-0.08899798833360817,-0.08011955005836227,0.2063774556236767,0.28222704904575585,0.2976829959384867
1.4500000000000002,-0.11335826212569569,-0.10837131919078483,-0.09874271617960907,0.2009529677658114,0.2683934653124315,0.28500513498938296
1.5,-0.13136616685345354,-0.12598732650990652,-0.11562479015956657,0.19527383773733356,0.2544228112554464,0.27270402942165095
1.55,-0.14751195833255581,-0.14175372801893543,-0.1306838521564106,0.18923943951570865,0.24054574537682713,0.261001810131406
1.6,-0.16171351152182242,-0.15559358026586,-0.1438540228560578,0.18277367410293266,0.22695972757249136,0.24993456301848094
1.6500000000000001,-0.17390502173007077,-0.16744694298548674,-0.15508715035924459,0.17582613244861178,0.21381821704254922,0.23937182087465025
