time,imbalance Delta=0.1J,imbalance Delta=0.3J,imbalance Delta=0.5J,imbalance Delta=3J,imbalance Delta=5J,imbalance Delta=10J
0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.05,0.4987514805662346,0.4987514942260124,0.4987515215452264,0.4987530148709076,0.49875574200118705,0.4987684409150361
0.1,0.4950147003281857,0.4950149420486965,0.49501542545667454,0.4950417695565662,0.49508961565296356,0.49530752814080714
0.15000000000000002,0.48881732638174913,0.48881856740847995,0.48882104904585777,0.48895534708856075,0.489196736486497,0.4902592943695272
0.2,0.4802060897180328,0.48021001039069205,0.4802178489169505,0.48063943112291696,0.4813877571986704,0.48451026571548483
0.25,0.4692444861137403,0.4692539955874176,0.4692730131015568,0.4702907266709472,0.472063798408312,0.4789631895050104
0.30000000000000004,0.4560148333248693,0.4560343369796581,0.4560732370818566,0.45815051090488773,0.46168745076641315,0.4743094204772458
0.35000000000000003,0.4406151335422063,0.4406506613933015,0.440721447101735,0.44449568777258563,0.4507482700572226,0.4708584157212615
0.4,0.42315989516661295,0.4232194255532326,0.42333823403470333,0.4296298180247298,0.43972784946157506,0.46846906067686706
0.45,0.4037784428128922,0.40387168409123675,0.4040591524890377,0.41387362229414604,0.4290629418494296,0.466599123568916
0.5,0.38261434568995767,0.3827537816764206,0.3830348928197235,0.39755214589356547,0.41911837208423697,0.4644573873670332
0.55,0.3598235863566001,0.3600239197954524,0.3604287155195798,0.38098684201306043,0.41016337762708066,0.4612142972643807
0.6000000000000001,0.33557373133768365,0.335852252928332,0.3364144746220937,0.36448457605785045,0.40235464162362794,0.45621909772939095
0.65,0.31004234445275747,0.310418778692051,0.3111763408361069,0.34832706632257054,0.39573059865405086,0.44916232263242084
0.7000000000000001,0.2834164973166867,0.28391167747018803,0.2849069568494752,0.33276454649355464,0.3902146358241487,0.4401467018861773
0.75,0.2558895000970366,0.2565265338477792,0.25780528799041413,0.3180087067353046,0.3856267213975479,0.4296492340724923
0.8,0.22765993125684109,0.2284635651340991,0.23007502681299313,0.304226356129497,0.3817032626227429,0.4183889308749129
0.8500000000000001,0.19893099504497325,0.19992695934195767,0.20192209457471091,0.2915381956571072,0.3781220676532616,0.4071392613935029
0.9,0.16990750275916863,0.1711224796595022,0.17355356141879888,0.2800158374512928,0.37453083459481995,0.3965379224151759
0.9500000000000001,0.14079500029754746,0.14225596939181603,0.14517601192179927,0.2696834083996796,0.37057651360478583,0.38693986929759144
1.0,0.11179798886367695,0.11353222829349817,0.11699371156027574,0.26051927681816966,0.36593472517550374,0.37835274654892875
1.05,0.08311913342694649,0.08515271499102754,0.08920664695220838,0.2524601973241325,0.36033244930850394,0.37046415890296597
1.1,0.0549562052640316,0.057314106699227554,0.062009408584041636,0.24540637438411605,0.35356814319163765,0.36274939464567835
1.1500000000000001,0.02750133488454334,0.030206951894059274,0.035588566757055295,0.2392278372163641,0.3455237744827493,0.3546239372590508
1.2000000000000002,0.0009392825711057506,0.004013653754720184,0.010121474469825304,0.2337711855143333,0.33616969690986853,0.3456024950243561
1.25,-0.024553825533699537,-0.021093126427483896,-0.014225447896820143,0.22886759117077957,0.3255619149584014,0.3354181573852909
1.3,-0.04881253345561132,-0.044951565917250746,-0.03729750953987315,0.22434040108684977,0.31383336027321657,0.3240764601958192
1.35,-0.07168300078235611,-0.06741189153055509,-0.0589527134866658,0.2200126896225981,0.30117905890359564,0.3118350230086049
1.4000000000000001,-0.09302431188759827,-0.08833729291972278,-0.07906318584251612,0.21571460878530152,0.28783792094410443,0.2991201521081166
1.4500000000000002,-0.1127089457645538,-0.10760547505075077,-0.09751642687661048,0.21128954142981052,0.274072079552892,0.28640796388804507
1.5,-0.13062432711275476,-0.1251086033293517,-0.11421549787603022,0.20659934583067732,0.26014587087583657,0.27410445898009755
1.55,-0.14667325755270952,-0.1407550727462938,-0.12907984218603355,0.20152927037488577,0.24630676591870657,0.2624560808609016
1.6,-0.16077450807617039,-0.1544696201686055,-0.14204561486507522,0.19599046619746952,0.23276925238263932,0.2515102599605656
1.6500000000000001,-0.17286347569993832,-0.16619360351974816,-0.15306624886585185,0.1899221149827689,0.21970267692040957,0.24113144153467286
1.7000000000000002,-0.18289283677169912,-0.17588576286885804,-0.16211260198554137,0.18329161118484866,0.20722390797689408,0.2310628696369547
1.75,-0.1908327661482602,-0.18352220519343615,-0.1691728506059148,0.17609373177812263,0.19539548642970467,0.22101106589036176
1.8,-0.19667020407831898,-0.1890960609644172,-0.174252073139356,0.1683488734766157,0.18422753699061784,0.21072940519630487
1.85,-0.2004094228150341,-0.1926174632244218,-0.17737196386171433,0.16010045026901118,0.173684579787045,0.200077268110472
1.9000000000000001,-0.20207166509089308,-0.19411369374620152,-0.17857053895387814,0.15141182411243712,0.16369525647970168,0.18904426343119926
1.9500000000000002,-0.20169520615603498,-0.1936284090982963,-0.17790143875062348,0.1423616143135307,0.15416374494932883,0.17773568942828905
2.0,-0.19933446363795523,-0.19122113572114954,-0.1754329205468015,0.13303976973732454,0.14498197666893298,0.16632959927697485
2.0500000000000003,-0.19505945623759455,-0.18696634417857488,-0.17124741654780987,0.12354246909251469,0.13604146680616958,0.15502070460519835
2.1,-0.18895503810927888,-0.18095274046161883,-0.16544034020566778,0.1139681863389024,0.1272436651013077,0.143968470018995
2.15,-0.18112014709070565,-0.17328233680029786,-0.1581188679818981,0.1044130439714268,0.11850806876653673,0.13326318791582747
