time,imbalance Delta=5J,imbalance Delta=10J,imbalance Delta=15J,imbalance Delta=20J,imbalance Delta=30J,imbalance Delta=50J
0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.02002002002002002,0.48814201735574936,0.4917589547416701,0.4926419353236068,0.492972092228303,0.4932151708951011,0.4933420543170881
0.04004004004004004,0.47651104930627586,0.48368372596712284,0.485448918393636,0.486110377325447,0.4865978765661061,0.486852511975622
0.06006006006006006,0.4651033728915929,0.47576740225885134,0.4784130660705911,0.4794066177804927,0.4801396247231493,0.4805227502477155
0.08008008008008008,0.4539153625146605,0.46800349655250134,0.47152696860706933,0.4728530642166581,0.47383242083099014,0.47434464877259713
0.10010010010010009,0.44294348164104924,0.46038591876253054,0.4647836604586058,0.4664424257138105,0.46766873812609255,0.468310559430535
0.12012012012012012,0.43218427529267633,0.4529089501799661,0.45817659294791735,0.4601678420082379,0.4616414895269367,0.46241327811787497
0.14014014014014015,0.42163436327371695,0.4455672195236909,0.45169960865718756,0.4540228574420474,0.455744001308327,0.4566460182931239
0.16016016016016016,0.411290434070671,0.43835568053524465,0.44534691743238164,0.4480013965441901,0.4499699884202745,0.45100238617397775
0.18018018018018017,0.40114923937226704,0.43126959101500634,0.43911307389213633,0.44209774113385913,0.4443135313409715,0.44547635747415226
0.20020020020020018,0.39120758915841364,0.4243044932048297,0.4329929563416226,0.43630650884511374,0.43876905436158936,0.4400622555772071
0.22022022022022023,0.38146234731078843,0.4174561954289008,0.42698174699897923,0.4306226329789271,0.4333313052081406,0.4347547310521036
0.24024024024024024,0.37191042770084465,0.4107207549106968,0.4210749134485387,0.4250413435956633,0.4279953359125408,0.42954874242219543
0.2602602602602603,0.3625487907140552,0.4040944616896252,0.4152681912411436,0.41955814976720796,0.42275648485133976,0.4244395381057388
0.2802802802802803,0.3533744401720874,0.3975738235661429,0.40955756756747913,0.4141688229137243,0.41761035987642187,0.41942263945187547
0.3003003003003003,0.34438442061731667,0.391155552009002,0.40393926593549123,0.40886938115526766,0.4125528224673245,0.4144938248014476
0.3203203203203203,0.33557581492665595,0.38483654896275604,0.398409731787743,0.40365607461337144,0.4075799728397605,0.4096491145069532
0.34034034034034033,0.3269457422240888,0.3786138944978127,0.39296561899894694,0.3985253716021941,0.4026881359494819,0.40488475685055303
0.36036036036036034,0.3184913560635753,0.37248483524915305,0.3876037771979896,0.393473945652967,0.39787384833481304,0.4001972148032555
0.38038038038038036,0.31020984285612907,0.3664467735934387,0.38232123986251554,0.38849866331929817,0.3931338457450711,0.3955831535723011
0.40040040040040037,0.30209842051687835,0.3604972575175035,0.3771152131376273,0.383596572714447,0.3884650515056497,0.3910394288873851
0.42042042042042044,0.29415433730979823,0.3546339711343481,0.3719830653334678,0.3787648927349418,0.38386456557388643,0.38656307597967743
0.44044044044044045,0.28637487086956814,0.34885472580558285,0.3669223170594659,0.3740010029279526,0.37932965424287124,0.38215129921068813
0.46046046046046046,0.27875732738164866,0.34315745183195756,0.36193063195576447,0.3693024339626556,0.37485774045321885,0.3778014623108868
0.4804804804804805,0.27129904090321777,0.3375401906760746,0.35700580798496845,0.3646668586684178,0.370446394675451,0.373511079190627
0.5005005005005005,0.2639973728090379,0.33200108768371206,0.3521457692496979,0.36009208360506617,0.366093326328079,0.36927780528838544
0.5205205205205206,0.256849711347663,0.32653838527231727,0.34734855830369915,0.3555760411327569,0.36179637569875855,0.3650994294236074
0.5405405405405406,0.24985347129464194,0.3211504165572594,0.3426123289263001,0.35111678195104,0.3575535063379808,0.36097386612356464
